x,y
1395,673
1395,672
1385,662
1385,660
1384,659
1383,659
1382,658
1380,658
1379,657
1378,657
1374,653
1373,653
1371,651
1370,651
1369,650
1368,650
1367,649
1362,649
1361,648
1360,648
1356,644
1355,644
1347,636
1347,635
1338,626
1338,624
1333,619
1331,619
1329,617
1328,617
1326,615
1325,615
1323,613
1322,613
1319,610
1318,610
1317,609
1316,609
1314,607
1312,607
1311,606
1308,606
1307,605
1304,605
1303,604
1302,604
1301,603
1297,603
1296,602
1295,602
1294,601
1293,601
1292,600
1290,600
1289,599
1288,599
1285,596
1284,596
1283,595
1282,595
1281,594
1280,594
1279,593
1278,593
1277,592
1273,592
1272,591
1266,591
1265,590
1263,590
1262,589
1259,589
1258,588
1256,588
1255,587
1251,587
1250,586
1248,586
1247,585
1246,585
1245,584
1244,584
1243,583
1241,583
1240,582
1238,582
1236,580
1232,580
1231,579
1214,579
1213,578
1208,578
1207,577
1201,577
1200,576
1199,576
1198,575
1194,575
1193,574
1190,574
1189,573
1176,573
1173,570
1172,570
1170,568
1169,568
1165,564
1164,564
1158,558
1156,558
1155,557
1148,557
1147,556
1145,556
1144,555
1142,555
1141,554
1139,554
1126,541
1125,541
1124,540
1122,540
1120,538
1118,538
1116,536
1112,536
1111,535
1106,535
1105,534
1102,534
1101,535
1099,535
1098,536
1096,536
1095,537
1093,537
1092,538
1090,538
1089,539
1087,539
1086,540
1084,540
1083,541
1081,541
1080,542
1078,542
1077,543
1075,543
1074,544
1069,544
1068,545
1063,545
1062,546
1059,546
1058,547
1056,547
1055,548
1053,548
1052,549
1050,549
1049,550
1047,550
1046,551
1044,551
1043,552
1041,552
1034,559
1034,560
1033,561
1033,562
1031,564
1030,564
1029,565
1028,565
1023,570
1022,570
1021,571
1019,571
1018,572
1016,572
1015,573
1013,573
1012,574
1011,574
1010,575
1009,575
1007,577
1006,577
1005,578
1004,578
1002,580
1001,580
999,582
999,583
998,584
998,586
995,589
995,591
994,592
994,593
991,596
991,598
990,599
990,603
989,604
989,605
988,606
988,607
987,608
987,609
986,610
986,611
985,612
985,614
982,617
982,619
981,620
981,625
980,626
980,630
979,631
979,634
978,635
978,637
975,640
975,641
974,642
974,643
973,644
973,645
972,646
972,648
970,650
969,650
968,651
967,651
966,652
966,653
964,655
964,656
963,657
963,659
962,660
962,662
961,663
961,665
955,671
955,672
954,673
954,675
953,676
953,678
952,679
952,683
951,684
951,686
950,687
950,689
949,690
949,692
948,693
948,695
947,696
947,698
946,699
946,714
944,716
941,716
940,717
938,717
937,718
935,718
934,719
932,719
931,720
929,720
928,721
926,721
925,722
923,722
922,723
918,723
917,724
915,724
914,725
913,725
912,726
911,726
910,727
908,727
907,728
904,728
901,731
900,731
899,732
894,732
893,733
891,733
890,734
888,734
883,739
882,739
881,740
879,740
878,741
876,741
875,742
874,742
870,746
869,746
867,748
866,748
865,749
864,749
863,750
862,750
860,752
859,752
857,754
856,754
850,760
849,760
847,762
846,762
844,764
843,764
842,765
842,766
841,767
841,768
840,769
840,770
839,771
839,772
838,773
838,774
837,775
837,776
835,778
833,778
832,779
827,779
826,780
824,780
821,783
820,783
818,785
817,785
815,787
814,787
811,790
811,791
810,792
810,793
809,794
809,795
808,796
807,796
806,797
805,797
804,798
789,798
788,799
782,799
781,800
775,800
774,801
769,801
768,802
760,802
759,803
749,803
747,805
745,805
744,806
743,806
742,807
741,807
740,808
739,808
737,810
736,810
735,811
734,811
722,823
721,823
720,824
719,824
718,825
717,825
716,826
711,826
710,825
704,825
703,824
698,824
697,823
691,823
690,822
688,822
687,821
682,821
681,820
583,820
582,821
574,821
573,820
572,820
571,821
562,821
561,822
557,822
556,823
552,823
551,824
549,824
548,825
544,825
543,826
542,826
539,829
538,829
537,830
536,830
532,834
531,834
527,830
526,830
523,827
522,827
520,825
520,824
512,816
512,815
503,806
503,805
502,804
502,803
501,802
501,799
502,798
502,794
503,793
503,785
504,784
504,779
505,778
505,772
506,771
506,768
507,767
507,762
508,761
508,758
509,757
509,755
510,754
510,752
511,751
511,749
512,748
512,746
513,745
513,744
514,743
516,743
519,740
519,739
520,738
520,737
522,735
522,734
527,729
527,726
531,722
531,720
532,719
532,718
534,716
534,715
545,704
545,703
546,702
546,701
567,680
568,680
570,678
571,678
577,672
577,671
580,668
580,667
584,663
584,661
587,658
587,657
589,655
589,654
590,653
590,652
591,651
591,650
592,649
592,647
593,646
593,644
594,643
594,641
602,633
603,633
605,631
606,631
607,630
614,630
615,629
637,629
638,628
641,628
642,627
650,627
651,626
657,626
658,625
663,625
664,624
670,624
671,623
682,623
683,622
695,622
696,621
708,621
710,619
713,619
714,618
715,618
716,617
717,617
718,616
720,616
721,615
722,615
723,614
726,614
727,613
729,613
730,612
732,612
733,611
735,611
736,610
740,610
741,609
742,609
743,608
746,608
747,607
748,607
749,606
750,606
756,600
757,600
761,596
761,595
762,594
762,593
763,592
763,591
764,590
764,589
765,588
765,587
766,586
766,585
767,584
767,583
768,582
768,581
769,580
769,578
770,577
770,575
771,574
771,573
772,572
772,571
773,570
773,569
774,568
774,567
775,566
775,565
776,564
776,562
777,561
777,559
778,558
778,556
779,555
779,554
780,553
780,551
781,550
781,548
782,547
782,546
781,545
781,544
775,538
775,537
773,535
772,535
770,533
769,533
768,532
767,532
765,530
764,530
763,529
761,529
759,527
758,527
757,526
756,526
755,525
753,525
752,524
751,524
750,523
749,523
748,522
747,522
746,521
740,521
739,520
732,520
731,519
726,519
725,518
718,518
717,517
712,517
711,516
681,516
680,515
641,515
640,516
631,516
630,517
607,517
606,518
590,518
589,519
583,519
582,520
580,520
579,521
578,521
577,522
576,522
575,523
574,523
573,524
572,524
571,525
569,525
568,526
567,526
566,527
565,527
564,528
563,528
562,529
561,529
560,530
559,530
558,531
557,531
556,532
555,532
553,534
552,533
546,533
545,532
541,532
540,533
535,533
534,534
519,534
518,535
510,535
509,536
500,536
499,537
493,537
491,539
483,539
482,540
478,540
477,541
473,541
472,542
467,542
466,543
465,543
464,544
457,544
456,545
451,545
450,546
442,546
441,547
439,547
438,548
431,548
430,549
429,549
428,550
426,550
425,551
419,551
418,552
413,552
412,553
404,553
403,554
401,554
400,555
396,555
395,556
394,556
393,557
390,557
389,558
388,558
387,559
386,559
385,560
382,560
381,561
380,561
379,562
378,562
377,563
374,563
373,564
372,564
371,565
369,565
368,566
365,566
364,567
356,567
355,568
349,568
348,569
339,569
338,570
335,570
334,571
331,571
330,572
320,572
319,573
317,573
316,574
314,574
313,575
309,575
308,576
302,576
301,577
298,577
297,578
289,578
288,579
278,579
277,580
270,580
269,581
254,581
253,582
208,582
207,581
203,581
202,580
191,580
190,579
189,579
188,578
186,578
185,577
183,577
182,576
180,576
179,575
177,575
176,574
174,574
173,573
171,573
170,572
168,572
167,571
166,571
164,569
163,569
162,568
161,568
159,566
158,566
157,565
156,565
155,564
154,564
153,563
151,563
150,562
148,562
147,561
146,561
145,560
144,560
142,558
140,558
139,557
137,557
136,556
134,556
132,554
131,554
130,553
129,553
128,552
127,552
126,551
125,551
124,550
123,550
119,546
118,546
109,537
109,502
110,501
110,499
111,498
111,496
112,495
112,493
113,492
113,490
114,489
114,488
118,484
118,483
124,477
124,476
143,457
144,457
145,456
146,456
156,446
157,446
158,445
160,445
161,444
163,444
166,441
167,441
171,437
172,437
176,433
178,433
179,432
181,432
182,431
184,431
185,430
187,430
191,426
193,426
194,425
195,425
196,424
198,424
200,422
202,422
203,421
204,421
209,416
210,416
211,415
212,415
213,414
214,414
215,413
216,413
218,411
219,411
220,410
221,410
223,408
227,408
229,406
230,406
231,405
234,405
235,404
239,404
240,403
241,403
242,402
246,402
247,401
248,401
249,400
250,400
251,399
256,399
257,398
261,398
262,397
267,397
268,396
285,396
286,395
298,395
299,394
303,394
305,392
307,392
308,391
309,391
310,390
311,390
312,389
313,389
314,388
315,388
316,387
320,387
321,386
325,386
326,385
331,385
332,384
339,384
340,383
348,383
349,382
351,382
352,383
430,383
431,382
437,382
438,383
462,383
463,384
472,384
473,385
475,385
476,386
478,386
479,387
507,387
508,386
519,386
520,385
528,385
529,384
531,384
532,383
537,383
538,382
542,382
543,381
550,381
551,380
556,380
557,379
560,379
561,378
563,378
564,377
565,377
566,376
567,376
569,374
570,374
571,373
572,373
573,372
574,372
576,370
577,370
578,369
579,369
582,366
583,366
584,365
585,365
589,361
591,361
592,360
594,360
595,359
598,359
599,358
600,358
601,357
603,357
604,356
605,356
607,354
609,354
610,353
611,353
612,352
614,352
615,351
616,351
617,350
618,350
619,349
620,349
623,346
624,346
630,340
630,338
631,337
631,335
632,334
632,332
633,331
633,329
634,328
634,326
635,325
635,323
636,322
636,320
637,319
637,317
638,316
638,310
637,309
637,307
636,306
636,304
635,303
635,301
634,300
634,298
628,292
627,292
619,284
618,284
617,283
616,283
615,282
614,282
612,280
611,280
609,278
608,278
607,277
606,277
605,276
604,276
603,275
602,275
601,274
596,274
595,273
589,273
588,272
584,272
583,271
580,271
579,270
578,270
577,269
576,269
575,268
570,268
569,267
568,267
567,266
552,266
551,267
548,267
547,266
541,266
540,267
524,267
523,268
493,268
492,269
476,269
475,270
472,270
471,271
470,271
469,270
436,270
435,271
366,271
365,270
363,270
362,269
360,269
359,268
355,268
354,267
353,267
352,266
350,266
348,264
346,264
344,262
343,262
342,261
341,261
340,260
338,260
337,259
335,259
334,258
332,258
331,257
329,257
328,256
326,256
325,255
323,255
322,254
321,254
318,251
317,251
313,247
312,247
311,246
310,246
309,245
308,245
307,244
305,244
303,242
302,242
301,241
301,240
302,239
302,237
303,236
303,234
304,233
304,231
305,230
305,228
306,227
306,223
307,222
307,217
308,216
308,214
309,213
309,211
310,210
310,208
311,207
311,205
312,204
312,202
313,201
313,199
314,198
314,197
315,196
315,194
316,193
316,191
317,190
317,189
319,187
320,187
321,186
322,186
324,184
325,184
326,183
327,183
328,182
329,182
330,181
331,181
347,165
349,165
351,163
352,163
354,161
355,161
356,160
370,160
371,159
373,159
374,158
376,158
377,157
385,157
386,156
388,156
389,155
391,155
392,154
394,154
395,153
396,153
398,151
399,151
400,150
401,150
402,149
403,149
404,148
405,148
406,147
409,147
410,146
411,146
412,145
417,145
418,144
429,144
430,143
442,143
443,142
447,142
448,141
453,141
455,139
456,139
458,137
461,137
462,136
464,136
465,135
468,135
469,134
474,134
475,133
478,133
479,132
514,132
515,131
518,131
519,130
522,130
523,129
526,129
527,128
543,128
544,127
553,127
554,126
564,126
565,125
569,125
570,126
572,126
573,127
575,127
576,128
578,128
579,129
582,129
583,130
637,130
638,131
679,131
680,132
682,132
684,134
686,134
687,135
688,135
690,137
691,137
692,138
693,138
697,142
698,142
702,146
705,146
706,147
707,147
708,148
725,148
726,149
735,149
736,150
740,150
741,151
746,151
747,152
752,152
753,153
755,153
756,154
758,154
759,155
761,155
762,156
764,156
765,157
767,157
768,158
770,158
771,159
773,159
778,164
778,165
779,166
779,167
780,168
780,169
781,170
781,176
782,177
782,179
783,180
783,182
784,183
784,185
785,186
785,188
786,189
786,191
790,195
790,240
789,241
789,245
788,246
788,248
787,249
787,253
786,254
786,256
785,257
785,258
783,260
779,260
778,261
775,261
774,262
773,262
772,263
771,263
770,264
767,264
770,264
771,263
772,263
773,262
774,262
775,261
778,261
779,260
783,260
784,259
785,259
786,260
786,261
791,266
792,266
794,268
795,268
797,270
798,270
800,272
802,272
803,273
808,273
809,274
818,274
819,275
832,275
833,276
837,276
838,277
847,277
848,278
850,278
851,279
853,279
854,280
861,280
862,281
868,281
869,280
885,280
886,279
907,279
908,278
920,278
921,277
932,277
933,276
937,276
938,275
952,275
953,276
955,276
956,277
958,277
959,278
961,278
962,279
966,279
967,280
972,280
973,279
997,279
998,280
1000,280
1001,281
1003,281
1004,282
1006,282
1007,283
1009,283
1010,284
1051,284
1052,285
1070,285
1071,284
1073,284
1074,283
1078,283
1079,282
1123,282
1124,283
1126,283
1127,284
1133,284
1134,285
1138,285
1139,286
1143,286
1144,287
1147,287
1148,288
1152,288
1153,289
1154,289
1155,290
1156,290
1160,294
1161,294
1162,295
1163,295
1165,297
1166,297
1167,298
1171,298
1172,299
1174,299
1175,300
1179,300
1180,301
1182,301
1183,302
1185,302
1187,304
1188,304
1190,306
1190,307
1193,310
1193,312
1194,313
1194,315
1195,316
1195,317
1196,318
1196,320
1197,321
1197,323
1198,324
1198,326
1199,327
1199,329
1200,330
1200,332
1202,334
1202,335
1206,339
1206,340
1209,343
1209,344
1210,345
1210,346
1213,349
1213,350
1214,351
1214,353
1215,354
1215,355
1216,356
1216,357
1220,361
1220,362
1222,364
1222,365
1223,366
1223,367
1224,368
1224,369
1225,370
1225,371
1228,374
1228,375
1229,376
1229,377
1230,378
1230,380
1231,381
1231,382
1232,383
1232,384
1233,385
1233,387
1234,388
1234,390
1235,391
1235,393
1236,394
1236,396
1237,397
1237,399
1238,400
1238,401
1222,417
1222,418
1216,424
1222,418
1222,417
1237,402
1240,402
1244,406
1245,406
1246,407
1247,407
1248,408
1249,408
1250,409
1252,409
1253,410
1255,410
1256,411
1258,411
1260,413
1262,413
1263,414
1265,414
1266,415
1268,415
1269,416
1271,416
1272,417
1274,417
1275,418
1277,418
1278,419
1280,419
1281,420
1283,420
1284,421
1285,421
1286,422
1287,422
1288,423
1290,423
1292,425
1294,425
1302,433
1304,433
1305,434
1307,434
1308,435
1311,435
1312,436
1316,436
1317,437
1319,437
1317,437
1316,436
1312,436
1311,435
1308,435
1307,434
1305,434
1304,433
1302,433
1294,425
1292,425
1290,423
1288,423
1287,422
1286,422
1285,421
1284,421
1283,420
1281,420
1280,419
1278,419
1277,418
1275,418
1274,417
1272,417
1271,416
1269,416
1268,415
1266,415
1265,414
1263,414
1262,413
1260,413
1258,411
1256,411
1255,410
1253,410
1252,409
1250,409
1249,408
1248,408
1247,407
1246,407
1245,406
1244,406
1240,402
1239,402
1238,401
1238,400
1237,399
1237,397
1236,396
1236,394
1235,393
1235,391
1234,390
1234,388
1233,387
1233,385
1232,384
1232,383
1231,382
1231,381
1230,380
1230,378
1229,377
1229,376
1228,375
1228,374
1225,371
1225,370
1224,369
1224,368
1223,367
1223,366
1222,365
1222,364
1220,362
1220,361
1216,357
1216,356
1215,355
1215,354
1214,353
1214,351
1213,350
1213,349
1210,346
1210,345
1209,344
1209,343
1206,340
1206,339
1202,335
1202,334
1200,332
1200,330
1199,329
1199,327
1198,326
1198,324
1197,323
1197,321
1196,320
1196,318
1195,317
1195,316
1194,315
1194,313
1193,312
1193,310
1190,307
1190,306
1188,304
1187,304
